author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intervention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red,eliminiate,authors department/education in case belongs to center,lead author department/training,alex comments,
van lieshout,2016,make a move,Rape attitudes,183,Make a Move: A Comprehensive Effect Evaluation of a Sexual Harrassment Prevention Program in Dutch Residential Youth Care,Anne,1,field,Make a Move,1,2,7,"1,2",14.8,1,100,61.6,Netherlands,NA,177,1,1,"Make a Move is a group intervention for boys aged 12-17 in residential youth care designed to prevent sexual harrassment and dating violence. The eight 90-minute meetings cover the following topics: men, image, girls, sex, flirting, dating, pleasurable sex, and the future. Each meeting includes exercises like role play, discussion, and watching short movie clips. The program also includes a competitive element where boys can earn points for active participation and manners, and the final winner receives an incentive, with the goal of increasing boys engagement in the tasks. A full list of the goals and assignments in each of the eight sessions is included in a table in the article.","1,2,4,5",8,720 minutes,0,3,NA,3,boys,8,NA,NA,rct,FALSE,attitudes,youth in care,3,99,46,78,22,10,10,cluster randomized,d.i.d,-0.2900,1,1.3900,page 17 table 2,NA,,,,Roni,,Loading...,,,,,
chiriboga,2016,text message campaign,College Date Rape Attitude Scale,0,A Text Message Intervention to Increase Awareness of Sexual Assault on Campus,Anne,1,field,NA,4,2,3,3,20.25,5,32.1,75.5,US,RI,76,1,1,"The text message intervention included 2 text messages per week for a four-week period. The texts included messages about sexual assault general facts, risk factors, and tips to present it. The messages are as follows: 1) Sex without consent isn’t sex. It is rape. For more information visit: https://www.notalone.gov
 2) Sexual assault perpetrators use drugs that have no odor, color or flavor. Know your limits, if u or a friend doesn’t feel right after a drink get help. Resources: http://web.uri.edu/womenscenter/resources/
 3) Sexual assault is more likely to happen when a student is incapacitated by alcohol or drugs as they take away the ability to give consent. If you see someone in this situation take action. Resources: http://web.uri.edu/womenscenter/resources/
 4) 9 out of 10 sexual assault victims know their offenders. Keep this in mind when you are out today and remind your friends. Resources: http://web.uri.edu/womenscenter/resources/
 5) 6 out of 10 sexual assault cases occurred at the victims’ residence, so think twice before inviting someone over and speak out if you see your friends doing this. Resources: http://www.dayoneri.org 6) New in college? Freshmen students are at highest risk of being victims of sexual assault. Keep an eye on your friends especially if they are freshmen. Resources: http://www.nsvrc.org/saam/preventing-sexual- violence-campus
 7) Bystander intervention can help stop sexual assault. Do your part and help a friend or a stranger. Resources: http://itsonus.org
 8) You can reduce the odds of sexual assault happening, remember the facts and get ready to take actions. Thanks for participating.",9,8,,0,2,NA,2,both,24,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,34,,42,-,-,-,d.i.m,1.9200,1,8.2000,31,NA,1.92,0.08,0.28,,The SD is in table 2 (p.40) -- SETH,Loading...,,,,,
senn,2016,bringing in the bystander,bystander behaviors,122,"""And Then one Night When I Went to Class..."": The Impact of Sexual Assault Bystander Intervention Workshops Incorporated in Academic Courses",Anne,0,field,Bringing in the Bystander,1,2,3,3,21.13145809,4,0.2072072072,69.1,Canada,NA,444,1,0,"The intervention used here was an adaption of Bringing In The Bystander. The intervention was an approximately 3-hr (155 minutes plus break) Canadian adaptation of the BITB workshop. Students received the intervention in place of a 3-hr lecture or, in the case of business students, as an additional mandatory workshop, in the fall term. The workshops were led by two cohorts of undergraduate peer educators enrolled in the second of the two BI courses. Peer educators were trained through two social science courses. The workshops were offered to small single-sex groups (of around 25) and facilitated, whenever possible, by male-female pairs. All of the men’s groups were led by male–female pairs. Trans- gender participants chose whichever group they felt most comfort- able in.",8,1,,0,4,NA,4,both,44,NA,NA,quasi-experimental,FALSE,behavior,-,2,,309,,518,-,-,-,d.i.d,1.0400,1,7.3595,7,NA,0.14,0.01,0.07,,,Loading...,,,,,
taylor,2016,"shifting boundaries + a few safe dates (6, 7, 8)",frequency peer sexual victimization,183,Assessing Different Levels and Dosages of the Shifting Boundaries Intervention to Prevent Youth Dating Violence in New York City Middle Schools: A Randomized Control Trial,Anne,1,field,Shifting Boundaries,3,2,1,1,NA,5,50,14,US,NY,862,3,0.5,"In an RCT of Shifting Boundaries in NY middle schools, school counselors implemented a classroom curriculum covering the consequences for perpetrators, laws and penalties, and respectful relationships. Schools also implemented the building level component which included the use of school-based restraining orders, higher levels of faculty and security presence in areas identified through student mapping of safe/unsafe ""hotspots,"" and the use of posters to increase awareness and reporting. This fourth group consisted of 6th, 7th, and 8th grade students in the same school receiving the same intervention at the same time for only one year.","1,2,4,5,6",NA,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,1,NA,NA,quasi-experimental,FALSE,behavior,-,3,,133,,848,9,3,cluster randomized,reg.coef,-0.0100,1,0.5740,49,uses 6th grade only as comparison; note I add 1 to get log odds,-0.01,0.38,0.62,,"SETH: There are some misleading typos in the paper which is why I think we got confused on this one. Some reg coefficients in table 8 are mislabeled as adjusted odds ratios but AORs can't be negative, which those results are. I also created a custom function to convert confidence intervals to SDs and implemented it as a Google Sheets function",Loading...,,,,,
taylor,2016,"shifting boundaries + a few safe dates (6, 7, 8)",frequency peer sexual victimization,365,Assessing Different Levels and Dosages of the Shifting Boundaries Intervention to Prevent Youth Dating Violence in New York City Middle Schools: A Randomized Control Trial,Anne,1,field,Shifting Boundaries,3,2,1,1,NA,5,50,14,US,NY,862,3,0.5,"In an RCT of Shifting Boundaries in NY middle schools, school counselors implemented a classroom curriculum covering the consequences for perpetrators, laws and penalties, and respectful relationships. Schools also implemented the building level component which included the use of school-based restraining orders, higher levels of faculty and security presence in areas identified through student mapping of safe/unsafe ""hotspots,"" and the use of posters to increase awareness and reporting. This fourth group consisted of 6th, 7th, and 8th grade students in the same school receiving the same intervention at the same time for only one year.","1,2,4,5,6",NA,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,1,NA,NA,quasi-experimental,FALSE,behavior,-,4,,128,,814,4,3,cluster randomized,reg.coef,0.0200,-1,0.5630,52,uses 6th grade only as comparison,-2.15,0.65,0.81,,,Loading...,,,,,
taylor,2016,"shifting boundaries + a few safe dates (6, 7, 8)",frequency peer sexual perpetration,183,Assessing Different Levels and Dosages of the Shifting Boundaries Intervention to Prevent Youth Dating Violence in New York City Middle Schools: A Randomized Control Trial,Anne,1,field,Shifting Boundaries,3,2,1,1,NA,5,50,14,US,NY,862,3,0.5,"In an RCT of Shifting Boundaries in NY middle schools, school counselors implemented a classroom curriculum covering the consequences for perpetrators, laws and penalties, and respectful relationships. Schools also implemented the building level component which included the use of school-based restraining orders, higher levels of faculty and security presence in areas identified through student mapping of safe/unsafe ""hotspots,"" and the use of posters to increase awareness and reporting. This fourth group consisted of 6th, 7th, and 8th grade students in the same school receiving the same intervention at the same time for only one year.","1,2,4,5,6",NA,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,1,NA,NA,quasi-experimental,FALSE,behavior,-,4,,133,,848,9,3,cluster randomized,reg.coef,-0.0300,1,0.7930,49,uses 6th grade only as comparison,-0.04,0.38,0.62,,,Loading...,,,,,
taylor,2016,"shifting boundaries + a few safe dates (6, 7, 8)",frequency peer sexual perpetration,365,Assessing Different Levels and Dosages of the Shifting Boundaries Intervention to Prevent Youth Dating Violence in New York City Middle Schools: A Randomized Control Trial,Anne,1,field,Shifting Boundaries,3,2,1,1,NA,5,50,14,US,NY,862,3,0.5,"In an RCT of Shifting Boundaries in NY middle schools, school counselors implemented a classroom curriculum covering the consequences for perpetrators, laws and penalties, and respectful relationships. Schools also implemented the building level component which included the use of school-based restraining orders, higher levels of faculty and security presence in areas identified through student mapping of safe/unsafe ""hotspots,"" and the use of posters to increase awareness and reporting. This fourth group consisted of 6th, 7th, and 8th grade students in the same school receiving the same intervention at the same time for only one year.","1,2,4,5,6",NA,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,1,NA,NA,quasi-experimental,FALSE,behavior,-,4,,128,,814,4,3,cluster randomized,reg.coef,0.0400,-1,0.1880,52,uses 6th grade only as comparison,-0.01,0.41,0.64,,,Loading...,,,,,
taylor,2016,"shifting boundaries + a few safe dates (6, 7)",frequency peer sexual victimization,183,Assessing Different Levels and Dosages of the Shifting Boundaries Intervention to Prevent Youth Dating Violence in New York City Middle Schools: A Randomized Control Trial,Anne,1,field,Shifting Boundaries,5,2,1,1,NA,5,50,14,US,NY,271,3,0.5,"In an RCT of Shifting Boundaries in NY middle schools, school counselors implemented a classroom curriculum covering the consequences for perpetrators, laws and penalties, and respectful relationships. Schools also implemented the building level component which included the use of school-based restraining orders, higher levels of faculty and security presence in areas identified through student mapping of safe/unsafe ""hotspots,"" and the use of posters to increase awareness and reporting. This second group consisted of 6th and 7th grade classes, each of which only received the intervention for one year at the same time.","1,2,4,5,6",NA,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,1,NA,NA,quasi-experimental,FALSE,behavior,-,4,,133,,271,3,3,cluster randomized,odds.ratio,-0.0400,1,-,49,uses 6th grade only as comparison,-0.02,0.43,0.65,,"SETH: I redlined these because they seem redundant (and included by!) the results documented above, just for a smaller subset of the population. It's a noisy quasi-experimental result but it seems to me that we've gotten the core of the results by reporting the overall effects on the experiment on the main two outcomes at the two time points. Also -- a  negative odds ratio is impossible, I think; we would need to flip it or recalculate it",Loading...,1,,,agree,
taylor,2016,"shifting boundaries + a few safe dates (6, 7)",frequency peer sexual victimization,365,Assessing Different Levels and Dosages of the Shifting Boundaries Intervention to Prevent Youth Dating Violence in New York City Middle Schools: A Randomized Control Trial,Anne,1,field,Shifting Boundaries,5,2,1,1,NA,5,50,14,US,NY,271,3,0.5,"In an RCT of Shifting Boundaries in NY middle schools, school counselors implemented a classroom curriculum covering the consequences for perpetrators, laws and penalties, and respectful relationships. Schools also implemented the building level component which included the use of school-based restraining orders, higher levels of faculty and security presence in areas identified through student mapping of safe/unsafe ""hotspots,"" and the use of posters to increase awareness and reporting. This second group consisted of 6th and 7th grade classes, each of which only received the intervention for one year at the same time.","1,2,4,5,6",NA,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,1,NA,NA,quasi-experimental,FALSE,behavior,-,4,,128,,227,2,3,cluster randomized,odds.ratio,-0.0600,1,-,52,uses 6th grade only as comparison,-0.03,0.44,0.66,,,Loading...,1,,,agree,
taylor,2016,"shifting boundaries + a few safe dates (6, 7)",frequency peer sexual perpetration,183,Assessing Different Levels and Dosages of the Shifting Boundaries Intervention to Prevent Youth Dating Violence in New York City Middle Schools: A Randomized Control Trial,Anne,1,field,Shifting Boundaries,5,2,1,1,NA,5,50,14,US,NY,271,3,0.5,"In an RCT of Shifting Boundaries in NY middle schools, school counselors implemented a classroom curriculum covering the consequences for perpetrators, laws and penalties, and respectful relationships. Schools also implemented the building level component which included the use of school-based restraining orders, higher levels of faculty and security presence in areas identified through student mapping of safe/unsafe ""hotspots,"" and the use of posters to increase awareness and reporting. This second group consisted of 6th and 7th grade classes, each of which only received the intervention for one year at the same time.","1,2,4,5,6",NA,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,1,NA,NA,quasi-experimental,FALSE,behavior,-,4,,133,,271,3,3,cluster randomized,odds.ratio,-0.0600,1,-,49,uses 6th grade only as comparison,-0.03,0.43,0.65,,,Loading...,1,,,agree,
taylor,2016,"shifting boundaries + a few safe dates (6, 7)",frequency peer sexual perpetration,365,Assessing Different Levels and Dosages of the Shifting Boundaries Intervention to Prevent Youth Dating Violence in New York City Middle Schools: A Randomized Control Trial,Anne,1,field,Shifting Boundaries,5,2,1,1,NA,5,50,14,US,NY,271,3,0.5,"In an RCT of Shifting Boundaries in NY middle schools, school counselors implemented a classroom curriculum covering the consequences for perpetrators, laws and penalties, and respectful relationships. Schools also implemented the building level component which included the use of school-based restraining orders, higher levels of faculty and security presence in areas identified through student mapping of safe/unsafe ""hotspots,"" and the use of posters to increase awareness and reporting. This second group consisted of 6th and 7th grade classes, each of which only received the intervention for one year at the same time.","1,2,4,5,6",NA,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,1,NA,NA,quasi-experimental,FALSE,behavior,-,4,,128,,227,2,3,cluster randomized,odds.ratio,0.0000,0,-,52,uses 6th grade only as comparison,0.00,0.44,0.66,,,Loading...,1,,,agree,
gage,2016,adaption of safe dates,knowledge of forms of physical and emotional violence in dating and relationships,0,"Short-term effects of a violence-prevention curriculum on knowledge of dating violence among high school students in Port-au-Prince, Haiti",Arielle,0,field,SAFE Dates (adaptation),1,2,3,3,NA,NA,NA,NA,Haiti,NA,343,"2,4",1,curriculum on dating violence,"2,5",10,,0,2,NA,2,both,10,NA,NA,pre-post,FALSE,attitudes,-,1,,221,,221,1,1,n groups,d.i.p.,0.8300,1,0.3675,74 / 78,from haiti; here I combine private and public schools; result gage 2016 pg 7,-1.54,0.01,0.11,,"SETH: I recoded this as difference in proportion for knowing ""three or more forms of physical/sexual dating violence"", and the effect size is going to be huge but hey that's what the data say",Loading...,,,,,
gedney,2016,united states air force academy sexual assault prevention program + motivational interviewing,illinois rape myth acceptance scale,0,Sexual assault prevention: a randomized controlled trial of a military intervention,Anne,1,lab,sexual assault prevention program (SAPP),4,2,3,3,28.84,5,38.5,NA,US,UT,26,4,0,"The standard intervention was the US Air Force's current SAPP program, which includes content on background information on the prevalence of sexual assault in the military, the impact of a bystander's behavior, and how culture impacts prevention efforts. It also includes information about reporting, how to talk to victims, how to report, gender stereotyping and rape myth examples, and bystander intervention examples. In addition to the standard intervention, the PLUS intervention includes additional content intending to help participants further internalize the content and make it more interactive.",8,NA,,0,"1,4,9",NA,"1,4,9",both,22,TRUE,NA,pre-post,FALSE,attitudes,-,2,,26,,26,not given,not given,n groups,d,0.2100,1,-,85,NA,0.21,0.07,0.27,,,Loading...,,,,,
gedney,2016,united states air force academy sexual assault prevention program,illinois rape myth acceptance scale,0,Sexual assault prevention: a randomized controlled trial of a military intervention,Anne,1,lab,sexual assault prevention program (SAPP),4,2,3,3,29.76,5,60,NA,US,UT,25,4,0,"The standard intervention was the US Air Force's current SAPP program, which includes content on background information on the prevalence of sexual assault in the military, the impact of a bystander's behavior, and how culture impacts prevention efforts. It also includes information about reporting, how to talk to victims, how to report, gender stereotyping and rape myth examples, and bystander intervention examples.",8,NA,,0,"1,4,9",NA,"1,4,9",both,22,TRUE,NA,pre-post,FALSE,attitudes,-,2,,25,,25,not given,not given,n groups,d,0.1200,1,-,83,NA,0.12,0.08,0.28,,,Loading...,,,,,
jaime,2016,coaching boys into men - coach led,abuse perpetration,91,Using a domestic and sexual violence prevention advocate to implement a dating violence prevention program with athletes,Anne,0,field,Coaching Boys Into Men (CBIM),1,2,2,2,NA,1,100,27.5,US,PA,79,4,1,"Coaching Boys into Men (CBIM) is a teen dating violence prevention program for male adolescent athletes. This study sought to see the effects of adapting the program, generally implemented by an athletic coach, to be implemented by a Dating Violence/Sexual Violence prevention advocate. This study therefore focuses on the differences in outcomes for groups who had a coach and those who had an advocate. The program is implemented the same way with a series of 12 ""training cards"" introduced over 3 months. This line represents the pre-post results for students in the coach-led program.",9,9,,0,"1,4,5",NA,"1,4,5",male,19,TRUE,NA,pre-post,FALSE,behavior,-,2,,78,,79,1,1,cluster randomized,d.i.m,0.0300,1,0.9500,11,NA,0.03,0.03,0.16,,,Loading...,,,,,
jaime,2016,coaching boys into men - advocate lead,abuse perpetration,91,Using a domestic and sexual violence prevention advocate to implement a dating violence prevention program with athletes,Anne,0,field,Coaching Boys Into Men (CBIM),1,2,2,"1,2",NA,1,100,72.5,US,PA,69,4,1,"Coaching Boys into Men (CBIM) is a teen dating violence prevention program for male adolescent athletes. This study sought to see the effects of adapting the program, generally implemented by an athletic coach, to be implemented by a Dating Violence/Sexual Violence prevention advocate. This study therefore focuses on the differences in outcomes for groups who had a coach and those who had an advocate. The program is implemented the same way with a series of 12 ""training cards"" introduced over 3 months. This line represents the pre-post results for students in the advocate-led program.",9,9,,0,"1,4,5",NA,"1,4,5",male,19,TRUE,NA,pre-post,FALSE,behavior,-,2,,69,,69,1,1,cluster randomized,d.i.m,-0.0900,-1,0.6600,11,NA,-0.14,0.03,0.17,,,Loading...,,,,,
jouriles b,2016,immersive virtual environment (ive) simulations,NA,61,Measuring bystander behavior to prevent sexual violence: moving beyond self reports,Anne,0,lab,NA,1,2,3,3,19.78,5,18.68131868,67,US,NA,91,4,1,"The intervention consisted of 7 immersive virtual environment (IVE) simulations. During the IVE, there was an actor who was a ""friend"" that the participant had to respond to in several situations. 4 involved a situation where a 3rd party would experience unwanted sexual contact. 3 were meant to disguise the purpose of the study. Each IVE lasted 2-4 minutes. Only 3 were used in the analysis: one involving an intoxicated woman at a party, one involving going back to hook up, and a third involving a fraternity formal. All 3 are described in greater detail in the paper.",5,1,,0,"3,4",NA,"3,4",both,51,NA,NA,pre-post,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Loading...,1,,,agree,
baiocchi,2017,impower for girls; 50:50 for boys,rate of sexual assault victimization,244,"A Behavior-Based Intervention That Prevents Sexual Assault: the Results of a Matched-Pairs, Cluster-Randomized Study in Nairobi, Kenya",Matej,1,field,IMPower,1,2,1,1,12.35,2,NA,NA,Kenya,NA,6356,2,NA,"The goal of the IMPower intervention for girls was to
empower the girls to avoid risky situations, advocate for
themselves, and, if needed, defend themselves against an
attack. Learning methods included role-plays, facilitated
discussions, and verbal and physical skills practice. In
Session I, rapport, definitions, and objectives were
established. Session II focused on personal awareness,
self-efficacy, boundaries, and assertive communication
skills. Session III was an introduction to physical defense.
Session IV reviewed verbal and physical skills and focused
on specific strikes using bags and mitts. Session
V focused on de-escalation and negotiation to avoid fighting
and covered more advanced defense techniques, such
as multiple or armed attackers. Session VI reviewed all
previous sessions, and facilitators also encouraged women
to share assault experiences.","2,5",6,840 minutes,1,"1,2,5,6, 10",1,"1,2,5,6, 10",female,1,NA,NA,rct,TRUE,behavior,-,2,2827,2539,3529,3147,14,14,cluster randomized,t.test,2.1711,1,-,823,NA,,,,Roni,,Loading...,,"medicine; NGO's, a university in Nairobi",medicine,,
crane,2017,"F.A.C.E. (fully conscious, acting freely, clear, enthusiastic)",Consent Knowledge Survey,49,The Power of Consent: An Evaluation of Peer-Based Consent Programming in Sexual Assault Prevention,Matej,0,lab,CHOICES,4,2,3,3,18.2,5,0.2934782609,84.8,USA,OH,65,1,NA,"CHOICES is a mandatory freshman training for incoming freshman at Ohio State University. On its own, it has no programmatic content on the importance of consent in sexual interactions. Fully Conscious, Acting Freely, Clear and Enthusiastic Consent (F.A.C.E) module of CHOICES added further content on understanding clear and conscious consent beyond the content included in the SVE module.",1,1,~10 minutes,0,"2,5",0.5,"2,5",both,11,NA,NA,rct,FALSE,attitudes,-,3,28,25,32,32,15,15,cluster randomized,d.i.d,-0.5000,1,1.0000,32,interventions also have an alcohol intervention that I am not naming. I think randomized on classroom level,,,,Roni,^,Loading...,,,,,
crane,2017,"F.A.C.E. (fully conscious, acting freely, clear, enthusiastic)",SES - perpetration,49,The Power of Consent: An Evaluation of Peer-Based Consent Programming in Sexual Assault Prevention,Matej,0,lab,CHOICES,4,2,3,3,18.2,5,0.2934782609,84.8,USA,OH,65,1,NA,"CHOICES is a mandatory freshman training for incoming freshman at Ohio State University. On its own, it has no programmatic content on the importance of consent in sexual interactions. Fully Conscious, Acting Freely, Clear and Enthusiastic Consent (F.A.C.E) module of CHOICES added further content on understanding clear and conscious consent beyond the content included in the SVE module.",1,1,~10 minutes,0,"2,5",0.5,"2,5",both,4,NA,NA,rct,FALSE,behavior,-,3,28,25,32,32,15,15,cluster randomized,d.i.p,0.0313,-1,0.2154,34,NA,,,,Roni,"SETH: few problems with this study. first, the relationship between assignment, cluster and reception of treatmen is unclear, we know that clusters were assigned at random of the 46 that agreed to participate, but not how many were in each cluster. I took a stab at this by just dividing 46 by 3. Second, there's no incidence of sexual assault perpetratoin in the control group so we'll pool SDs. Third, one control group per two assignemnts means we're somewhat overestimating the statistical precision of this evidence by double-counting one control group, c'est la vie. Met-analayis only needs to get ballpark correct answers for any individual point estimate for the overall patterns to emerge the same as they would if the point estimates were perfect",Loading...,,psychology,psychology,,
crane,2017,"F.A.C.E. (fully conscious, acting freely, clear, enthusiastic)",SES - victimization,49,The Power of Consent: An Evaluation of Peer-Based Consent Programming in Sexual Assault Prevention,Matej,0,lab,CHOICES,4,2,3,3,18.2,5,0.2934782609,84.8,USA,OH,65,1,NA,"CHOICES is a mandatory freshman training for incoming freshman at Ohio State University. On its own, it has no programmatic content on the importance of consent in sexual interactions. Fully Conscious, Acting Freely, Clear and Enthusiastic Consent (F.A.C.E) module of CHOICES added further content on understanding clear and conscious consent beyond the content included in the SVE module.",1,1,~10 minutes,0,"2,5",0.5,"2,5",both,7,NA,NA,rct,FALSE,behavior,-,3,28,25,32,32,15,15,cluster randomized,d.i.p,0.1838,-1,0.3666,34,NA,,,,Roni,"SETH: I went through a lot of back and forth on this study but I ultimately think that we shouldn't ""standardize"" by the results at pre-treatment because they are over a totally not comparable time period years worth of behavior) and they kind of make the results...implausibly large",Loading...,,,,,
crane,2017,"SVE (sober, verbal enthusiastic)",Consent Knowledge Survey,49,The Power of Consent: An Evaluation of Peer-Based Consent Programming in Sexual Assault Prevention,Matej,0,lab,CHOICES,4,2,3,3,18.2,5,0.2934782609,84.8,USA,OH,57,1,NA,"CHOICES is a mandatory freshman training for incoming freshman at Ohio State University. On its own, it has no programmatic content on the importance of consent in sexual interactions. The Sober, Verbal, and Ethusiastic module (SVE) of CHOICES added content on the importance of informed and explicit content.",1,1,~10 minutes,0,"2,5",0.5,"2,5",both,11,NA,NA,rct,FALSE,attitudes,-,3,28,25,27,25,15,15,cluster randomized,d.i.d,-0.2000,1,1.0000,32,NA,,,,Roni,^,Loading...,,,,,
crane,2017,"SVE (sober, verbal enthusiastic)",SES - perpetration,49,The Power of Consent: An Evaluation of Peer-Based Consent Programming in Sexual Assault Prevention,Matej,0,lab,CHOICES,4,2,3,3,18.2,5,0.2934782609,84.8,USA,OH,57,1,NA,"CHOICES is a mandatory freshman training for incoming freshman at Ohio State University. On its own, it has no programmatic content on the importance of consent in sexual interactions. The Sober, Verbal, and Ethusiastic module (SVE) of CHOICES added content on the importance of informed and explicit content.",1,1,~10 minutes,0,"2,5",0.5,"2,5",both,4,NA,NA,rct,FALSE,behavior,-,3,28,25,27,25,15,15,cluster randomized,d.i.p,0.1200,-1,0.2154,34,NA,,,,Roni,there's no incidence of sexual assault perpetratoin in the control group so we'll pool SDs,Loading...,,,,,
crane,2017,"SVE (sober, verbal enthusiastic)",SES - victimization,49,The Power of Consent: An Evaluation of Peer-Based Consent Programming in Sexual Assault Prevention,Matej,0,lab,CHOICES,4,2,3,3,18.2,5,0.2934782609,84.8,USA,OH,57,1,NA,"CHOICES is a mandatory freshman training for incoming freshman at Ohio State University. On its own, it has no programmatic content on the importance of consent in sexual interactions. The Sober, Verbal, and Ethusiastic module (SVE) of CHOICES added content on the importance of informed and explicit content.",1,1,~10 minutes,0,"2,5",0.5,"2,5",both,7,NA,NA,rct,FALSE,behavior,-,3,28,25,27,25,15,15,cluster randomized,d.i.p,0.0800,-1,0.4670,34,NA,,,,Roni,^,Loading...,,,,,
exner-cortens,2017,wingman 101,illinois rape myth acceptance scale - short form,7,Bystander-Based Sexual Violence Prevention With College Athletes: A Pilot Randomized Trial,Matej,0,lab,Wingman 101,1,2,3,3,19.99,1,100,80,USA,NA,80,1,NA,"The Wingman 101 program includes a heavy focus on facilitated scenario-based
discussion, to allow participants to identify existing group norms around sexual violence, and then engage in examination, critique, and deconstruction
of those norms. The program is offered in a 75-min, one-session format, and is cofacilitated by two to three male student peers. Facilitators interview for this position, with selection based in part on relatability to the target groups (athletes and fraternity members; for example, facilitators often have prior experience on an athletic team or are themselves a fraternity member). 
At the start of Wingman 101, participants are introduced to bystander theory, and facilitators use each scenario to highlight the role of the community (in this case, the athletic team) in preventing sexual violence. Wingman 101 also draws on understandings of the importance of addressing social norms to create community social change. In Wingman 101, the scenarios are used to foster social norms-based discussion,
for example, by demonstrating that others on the team are also concerned with sexual violence and would support the efforts of a teammate to prevent this violence. Finally, as part of strengths-based practice, the focus of the program is not on individual behaviors associated with perpetration, but rather on emphasizing a community prevention approach that draws on the strengths (e.g., bonding) of these intact groups.
During the Safe Sisters program, participants perform an exercise called “I Will” during which they complete sentences related to their intentions to help in situations that could lead to sexual assault. For example, participants are asked to complete the sentence, “If I see a sister who is drunk leaving a party with a guy, I will…”",2,1,75 minutes,0,10,1,10,male,17,NA,NA,rct,FALSE,attitudes,-,2,40,39,40,35,-,-,-,d,0.0530,-1,-,12,I don't see IRMA-pre reported. Help with coding Bystander Behavior. They are randomly assigned stratified by team,,,,Roni,,Loading...,,Health & social work; ,Health & Social work,,
exner-cortens,2017,wingman 101,illinois rape myth acceptance scale - short form,61,Bystander-Based Sexual Violence Prevention With College Athletes: A Pilot Randomized Trial,Matej,0,lab,Wingman 101,1,2,3,3,19.99,1,100,80,USA,NA,80,1,NA,"The Wingman 101 program includes a heavy focus on facilitated scenario-based
discussion, to allow participants to identify existing group norms around sexual violence, and then engage in examination, critique, and deconstruction
of those norms. The program is offered in a 75-min, one-session format, and is cofacilitated by two to three male student peers. Facilitators interview for this position, with selection based in part on relatability to the target groups (athletes and fraternity members; for example, facilitators often have prior experience on an athletic team or are themselves a fraternity member). 
At the start of Wingman 101, participants are introduced to bystander theory, and facilitators use each scenario to highlight the role of the community (in this case, the athletic team) in preventing sexual violence. Wingman 101 also draws on understandings of the importance of addressing social norms to create community social change. In Wingman 101, the scenarios are used to foster social norms-based discussion,
for example, by demonstrating that others on the team are also concerned with sexual violence and would support the efforts of a teammate to prevent this violence. Finally, as part of strengths-based practice, the focus of the program is not on individual behaviors associated with perpetration, but rather on emphasizing a community prevention approach that draws on the strengths (e.g., bonding) of these intact groups.
During the Safe Sisters program, participants perform an exercise called “I Will” during which they complete sentences related to their intentions to help in situations that could lead to sexual assault. For example, participants are asked to complete the sentence, “If I see a sister who is drunk leaving a party with a guy, I will…”",2,1,75 minutes,0,10,1,10,male,17,NA,NA,rct,FALSE,attitudes,-,2,40,33,40,25,-,-,-,d,-0.1200,1,-,12,NA,,,,Roni,,Loading...,,,,,
feldwisch,2017,safe sisters,illinois rape myth acceptance scale,35,Safe Sisters Evaluation: A Randomized Controlled Trial of a Bystander Intervention Program to Prevent Sexual Assault,Matej,0,lab,Safe Sisters,4,2,3,3,19.5,2,0,90,USA,IN,139,1,NA,"Safe Sisters is a campus-based prevention program that uses bystander intervention
strategies to prevent sexual assault among women who are in sororities (Indiana University,
2015). The four hour in-person program attempts to modify sociocultural norms in sororities via
training regarding the problem of sexual assault, modeling and practice of sexual assault
bystander intervention strategies, and providing ways to support a “sister” who has been sexually
assaulted. The goal of this program is to train women to act on behalf of other women while also
raising awareness of their own risk and ways that they can protect themselves.",2,1,240 minutes,0,"4,8,10",0.5,"4,8,10",female,22,NA,NA,rct,FALSE,attitudes,sorority members,2,62,18,77,38,-,-,-,d.i.d,-0.3600,1,8.3200,"page 43, table 1",NA,,,,Roni,,Loading...,,education,education,,
