author,year,coder,intervention name,title,publication type,origin,program name,number of participant,mean age,participant sex,% of male,stage in life,setting,% dominant racial or ethnic group,country,state,lab or field,type of control,intrevention description,brief description of the intervention,delivery of treatment,intervention length,additional contact,states purpose of the intervention,_file,stated purpose of the intervention,number of participants,intervention description,states purpose of the intervention...26,stated_purpose
Hahn,2017,Matej,The Woman's Program workshop,"Predictors of bystander behaviors and sexual
assertiveness among college women attending
a sexual assault prevention program",1,2,The Women's Program,NA,19.49,2,0,3,3,95,USA,NA,0,4,NA,"TheWomen’s Programis a bystander intervention that was developed for college women to enhance students’ ability
to identify and intervene during risky situations, and provide support to individuals who have experienced a sexual assault. The Women’s Program was provided to participants in four groups and lasted approximately an hour and a half. Two clinical psychology graduate students provided the intervention under the supervision of a licensed psychologist. The program included definitions of sexual assault, the viewing of a video, “The Undetected Rapist” , and information about how to help individuals who have experienced sexual assault. The investigators made changes to the original intervention: They showed a short video at the beginning of the program depicting the barriers that students who experience sexual assault during college survivors often face, engaged in a role-play depicting a woman helping her friend who discloses a sexual assault, and separated participants into small groups for discussions.","4,5",1,0,NA,3,"2,4",141,1,NA,"2,4"
Hines,2017,Matej,In-Person Program,"Bystander Prevention of Sexual and Dating Violence:
An Experimental Evaluation of Online and In-Person
Bystander Intervention Programs",1,2,Bringing in the Bystander,NA,18.02,4,38.3,3,3,72.9,USA,NA,1,4,NA,"To be comparable to the length of the online Agent of Change program, we tailored
the 2-hr Bringing in the Bystander program and shortened it to 1 hr. This shortened
version included two components: (a) Learning About Dating and Sexual Violence,
which consisted of data on SV and DV on college campuses in general, the results of
a university survey evaluating the rates of SV and DV on our campus, information
on the consequences of SV and DV to victims, and an interactive discussion about
the continuum of violence, and (b) Empowering Students to Be Proactive Bystanders,
which provided information on what a bystander is, engaged students in a discussion
of obstacles to being a prosocial bystander and how to overcome them, examples of
situations on college campuses in which no one intervened and a discussion of what
could have been done to prevent those tragedies, role-playing typical scenarios on
a college campus in which they might be called on to intervene, and a commitment
to intervene.",2,1,0,NA,3,"2,4",330,1,NA,"2,4"
Hines,2017,Matej,E-Intervention,"Bystander Prevention of Sexual and Dating Violence:
An Experimental Evaluation of Online and In-Person
Bystander Intervention Programs",1,2,Agent of Change,NA,18.2,4,38.4,3,3,70.7,USA,NA,1,4,NA,"The E-Intervention program itself consisted of 10 scenes with the same set of college student
characters depicting various scenarios in which student participants could act as
bystanders. The students were avatars in each scenario and had to interact with the
characters. At certain points, the students were asked to make choices about what
they would say or do next; those choices were in multiple-choice format, and the
characters reacted to their choices. The characters modeled and provided positive
feedback to prosocial bystander choices and challenged students if they chose to not
intervene in a positive way. The choices they made also influenced their tracking in
the program.",7,1,0,NA,3,4,232,1,NA,4
Hust,2017,Matej,Behavior modeling content,"The Entertainment-Education Strategy in Sexual
Assault Prevention: A Comparison of Theoretical
Foundations and a Test of Effectiveness in a
College Campus Setting",1,2,NA,NA,18.8,5,34,3,3,71.9,USA,NA,0,2,NA,"Freshman college students received 5 volumes of a magazine leaflet they signed up for, which was advertised as ""inside scoop on the social life and academics at the university from upperclassmen."" Students receiving the behavior modeling leaflets read other students' testimonials about sexual violence.",6,5,0,NA,3,"6,10",68,0.5,NA,"6,10"
Hust,2017,Matej,Norm-corrective content,"The Entertainment-Education Strategy in Sexual
Assault Prevention: A Comparison of Theoretical
Foundations and a Test of Effectiveness in a
College Campus Setting",1,2,NA,NA,18.8,5,34,3,3,71.9,USA,NA,0,2,NA,"Freshman college students received 5 volumes of a magazine leaflet they signed up for, which was advertised as ""inside scoop on the social life and academics at the university from upperclassmen."" Students receiving the norm corrective leaflets read articles about social norms regarding sexual interactions.",6,5,0,NA,3,10,75,0.5,NA,10
Hust,2017,Matej,Combined behavior modeling and norm-corrective content,"The Entertainment-Education Strategy in Sexual
Assault Prevention: A Comparison of Theoretical
Foundations and a Test of Effectiveness in a
College Campus Setting",1,2,NA,NA,18.8,5,34,3,3,71.9,USA,NA,0,2,NA,"Freshman college students received 5 volumes of a magazine leaflet they signed up for, which was advertised as ""inside scoop on the social life and academics at the university from upperclassmen."" Students receiving the combined behavior modeling and norm corrective leaflets read other students' testimonials about sexual violence and articles about social norms regarding sexual interactions.",6,5,0,NA,3,"6,10",77,0.5,NA,"6,10"
Jaffe,2017,Matej,Treatment,"Feasibility and Initial Evaluation of Project PEACE:
An Intervention for College Students at Risk for
Dating Violence",1,2,Project PEACE,NA,20.59,3,28.1,3,3,93.8,USA,NA,0,1,NA,"Project PEACE is a manualized intervention designed to prevent physical and psychological
dating violence in at-risk college students. Mixed-gender groups of six
to eight individuals, each involved in a romantic relationship, met for four 90-min
sessions (similar in structure to Schwartz et al., 2004). Each group had two facilitators;
the lead facilitator of each group had a master’s degree in clinical psychology.
Facilitators met weekly with the third author (DD), a licensed psychologist, for supervision
and to review group content (to ensure fidelity). Group sessions were didactic
and experiential in nature, and participants were assigned homework after each session
to assist with skills generalization. Each of the four sessions focused on addressing
specific risk factors of dating violence, drawing on theory and techniques from
empirically supported interventions, including aspects of mindfulness-based stress
reduction (Kabat-Zinn, 1990), DBT (Linehan, 1993), and cognitive therapy (e.g., Beck,
1989).",2,4,0,NA,3,"5,6",32,1,NA,"5,6"
Lazarevich,2017,Matej,Intervention Group (IG),"Dating Violence in
Mexican College
Students: Evaluation
of an Educational
Workshop",1,2,Dating Relationships in College Students,NA,23.25,5,22.7,3,3,NA,MX,NA,0,1,NA,"A workshop, “Dating Relationships in College Students,” was developed to
help students recognize psychological abuse and to promote the construction
of healthier relationships.
The content of the workshop was based on the following components:
information on basic concepts, prevalence of dating violence, its main consequences,
and common erroneous stereotypes. Afterwards, the results of our
university survey on the prevalence of dating violence were presented.
Finally, five case studies were discussed. The last exercise was carried out
with students working together in small groups. The results of each group’s
discussion were shared and presented in a general session, conducted by the
tutor. Students played an active role in presenting and discussing each case,
so that the tutor intervened as little as possible to allow them to take an active
role in the general session. However, the tutor was responsible for focusing
the discussion on the most relevant elements of each case.",2,1,0,NA,3,"2,11",132,1,NA,"2,11"
Lemay,2017,Matej,NA,"Using Conformity to Enhance Willingness to Intervene in Dating Violence:
A Theory of Planned Behavior Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
Leonard,2017,Matej,NA,Sexual Assault Prevention for Rape Myth Acceptance in Male College Students,4,2,Men of UT,NA,19,1,97.4,3,3,86.8,USA,NA,1,4,NA,"The Men of UT program was a single series intervention, designed to last between 60 – 90 minutes,varying based on the number of participants attending and engaging. The program These elements was compiled with the goals of: (a) raising awareness of sexual violence on attendees’ campus, (b) discussing the importance of masculinity and its role in sexual violence, and (c) educating the campus community on how bystander intervention can be applied while discussing barriers to intervening male students.Participants were engaged in conversation regarding healthy masculinity, which was supported by a video clip pertaining to defining masculinity (the link to the video can be found in Appendix D). Discussion then
transitioned to elements of sexual violence including consent and the continuum of
violence, each supported with correlating video clips (Appendix D). Participants were
challenged to apply this knowledge to their experience and behaviors by discussing
bystander intervention and their role in sexual violence prevention. Bystander
intervention was given context using a video clip demonstrating how college students
have intervened in sexual violence (Appendix D).","2,4",1,0,NA,3,"2,4,10",76,1,NA,"2,4,10"
Rominski,2017,Matej,NA,"An intervention to reduce sexual violence on university
campus in Ghana: a pilot test of Relationship Tidbits at the
University of Cape Coast",1,2,Relationship Tidbits,NA,22.9,5,50.7,3,3,NA,Ghana,NA,0,4,NA,"We adapted a sexual violence prevention programme created at the University of Michigan, USA, for use at
UCC, Ghana. In February, 2016, we ran focus-group discussions that contributed to the initial adaptation to create a
programmed called Relationship Tidbits. In April, 2016, we tested the adapted programme with UCC students. We
recruited participants for the beta testing from their halls of residence and via snowball sampling. Students interacted
with the programme in small groups of six participants and were encouraged to think aloud and ask questions.",2,NA,0,NA,3,NA,71,0.5,NA,NA
Rowley,2017,Matej,NA,"Exploring the feasibility and acceptability of a high-school-based digital
sexual assault prevention program: Bystander",1,2,Bystander,NA,17,3,44.5,2,2,66.6,USA,NA,0,4,NA,"""Bystander"" was designed to shift attitudes and behaviors regarding
sexual assault in school. Bystander comprises an interactive digital game
and curriculum delivered over four classroom sessions by trained
facilitators.",9,4,0,NA,3,"1,5",46,0.5,NA,"1,5"
Senn,2017,Matej,EAAA,"Secondary and 2-Year Outcomes
of a Sexual Assault Resistance Program
for University Women",1,2,"Enhance Access, Acknowledge, Act (EAAA)",NA,18.5,2,0,3,3,73,USA,NA,0,2,NA,"The EAAA program consisted of four 3-hr
units designed for small groups (20 or fewer) of women led
by two well-trained female facilitators. Each unit employed
games, mini-lectures, facilitated discussions, small and large
group exercises, as well as application and practice using
written scenarios, audio and video clips, and role-play.
In Unit 1 (Assess), participants learned how to discern the
level of risk for sexual assault present in situations involving
male acquaintances and to develop problem-solving strategies
aimed at minimizing the advantages of potential perpetrators.
For example, the Assess unit identifies “presence of
alcohol” (no matter who is drinking it) as one of the key
situational cues that elevates risk of sexual assault. Activities
in both Assess and Acknowledge units provide women with practice at identifying and undermining perpetrator advantages
in situations that involve alcohol. This means that
approximately 90 min of the 12 hr of EAAA programming
includes discussion of the issue of alcohol-facilitated sexual
assault, alone or in combination with other risk factors, and
counteracts related myths. In Unit 2 (Acknowledge), the
women were taught to recognize quickly the dangers inherent
in situations that have turned coercive. They were provided
with activities to help them develop strategies to prioritize
their sexual rights and overcome the emotional barriers to
seeing the danger and to engaging in resistance against men
they know. In Unit 3 (Act), participants received instruction
and practice on a variety of effective verbal and physical
resistance strategies with a focus on common acquaintance
sexual assault scenarios. In Unit 4 (Relationships and Sexuality),
content from the previous three units was integrated
and applied to participants’ sexual lives by providing a context
for them to explore their own sexual and relationship
values and desires as well as practice negotiating their needs","4,5",4,0,NA,3,"2,5,8",877,1,NA,"2,5,8"
Sosa-Rubi,2017,Matej,"SCC, IL-1","True Love: Effectiveness of a School-Based Program to Reduce
Dating Violence Among Adolescents in Mexico City",1,2,True Love,NA,15.99,3,56.17,2,2,NA,MX,NA,1,4,NA,"The individual level component of the True Love coursework was delivered over the course of 16 weeks in one semester. The first module focused on the social construction
of gender identities, on misconceptions about gender roles and stereotypes, and on the construction of egalitarian affective relationships. The second module focused
on concepts, knowledge, and perceptions of gender and dating violence and their consequences. The third module addressed sexual rights and the right to
privacy. The fourth module focused on skills to cope with violent dating events, to live with respect for oneself
and for others, and to understand the role of school as a resource to address dating violence. Activities included
cooperative games, analysis of songs and videos, role-playing, theater, and study of personal and hypothetical situations.",2,16,0,NA,3,"1,2,3,10",381,1,NA,"1,2,3,10"
Sosa-Rubi,2017,Matej,SCC,"True Love: Effectiveness of a School-Based Program to Reduce
Dating Violence Among Adolescents in Mexico City",1,2,True Love,NA,16.2,3,56.35,2,2,NA,MX,NA,1,4,NA,"The School Climate Change (SCC) component of True Love focused on school climate and exposed
all students on campus to an enhanced and more informative school environment to prevent dating violence. Two
factors contributed to this type of exposure. The first was a workshop that targeted school staff. External, trained facilitators from ALBANTA delivered five 4-h workshop sessions
to teachers, counselors, and administrative staff over
1 week in January 2014. The main objectives of the workshop
were (1) to raise awareness among the school staff
about the consequences of dating violence to the physical,
emotional, and social well-being of their students and (2) to
identify actions that can foster a non-violent school atmosphere.
The second contributor to the enhanced climate was
the schoolyard activities completed by students. Both of
these were designed to benefit all students by enhancing
the school climate through the promotion of respect, equality,
and the use of community resources.",2,5,NA,NA,3,"2,4,5",504,1,NA,"2,4,5"
Suga,2017,Matej,Dating/Domestic Violence Class,"Results of Dating Violence Prevention
Education for Japanese High School Boys",1,2,"A Program
for Mutual Respect: Learning about Domestic Violence in Order to Value Our
Relationships",NA,17.4,1,100,2,2,NA,JPN,NA,0,1,NA,"considered the results of the preliminary survey as I developed a preventative
education program. To create the content that is easily understood by Japanese
high school students, I based it on situations that actually happen in schools. I
also introduced the topics on the cycle of violence and the effects of abuse
on children. The main objective of the program was that as people respect
each other, there would be no violence or DV. The curriculum is divided into 12 sections which aim to explain what exactly dating/domestic violence is, how to spot it and how to prevent it. Relevant statistics from Japan on the number of DV victims are shared and support resources introduced (Japan's DV hotline).","2,5

",1,0,NA,3,"1,2,4",234,1,NA,"1,2,4"
Taylor,2017,Matej,Group 1: School-based 6th grade only,"The effects of different saturation levels of the Shifting
Boundaries intervention on preventing adolescent
relationship abuse and sexual harassment",1,2,Shifting Boundaries,NA,12.5,3,50,1,1,37,USA,NY,1,4,NA,"The SB program was designed to work at the classroom and building levels. A multisession classroom curriculum (SBC) covered the following areas taught by the school
counselors: consequences for perpetrators of adolescent relationship abuse and sexual
harassment, state laws and penalties for adolescent relationship abuse and sexual
harassment, and respectful relationships. The lessons were designed to improve knowledge about adolescent relationship abuse, attitudes toward adolescent relationship
abuse and skill development in asserting one’s boundaries, and building respectful
relationships. 
The school (building-level) based intervention (SBS) included the development
and use of temporary school-based restraining orders (respecting boundaries
agreements), higher levels of faculty and security presence in areas identified by
students through mapping exercises as unsafe Bhot spots,^ and the use of posters to
increase awareness and reporting of adolescent relationship abuse and sexual harassment
to school personnel. The interventions were implemented by school counselors.
The program component of our project team trained the school personnel at a day-long
in-person training in the lessons and building-level interventions. Project staff also
answered follow-up questions from the trainees over the phone and conducted refresher
trainings as needed.
Sixth grade had four lessons. We needed to tread more gently with the 6th grade students as we opened discussion about setting and articulating boundaries. With 6th graders we treaded in a more incremental, basic approach, with extra attention to
introductory material. Our 6th grade lessons concentrated on the definitions and
applications of Personal space and boundaries.","2,5,6",4,NA,NA,3,"1,2,5",631,1,NA,"1,2,5"
Taylor,2017,Matej,Group 2: School-based 6th and 7th grade only,"The effects of different saturation levels of the Shifting
Boundaries intervention on preventing adolescent
relationship abuse and sexual harassment",1,2,Shifting Boundaries,NA,12.5,3,50,1,1,37,USA,NY,1,4,NA,"The SB program was designed to work at the classroom and building levels. A multisession classroom curriculum (SBC) covered the following areas taught by the school
counselors: consequences for perpetrators of adolescent relationship abuse and sexual
harassment, state laws and penalties for adolescent relationship abuse and sexual
harassment, and respectful relationships. The lessons were designed to improve knowledgeabout adolescent relationship abuse, attitudes toward adolescent relationship
abuse and skill development in asserting one’s boundaries, and building respectful
relationships. 
The school (building-level) based intervention (SBS) included the development
and use of temporary school-based restraining orders (respecting boundaries
agreements), higher levels of faculty and security presence in areas identified by
students through mapping exercises as unsafe hot spots, and the use of posters to
increase awareness and reporting of adolescent relationship abuse and sexual harassment
to school personnel. The interventions were implemented by school counselors.
The program component of our project team trained the school personnel at a day-long
in-person training in the lessons and building-level interventions. Project staff also
answered follow-up questions from the trainees over the phone and conducted refresher
trainings as needed.
The classroom lessons varied in the level of content and length by grade: sixth grade
had four lessons, seventh grade had six lessons, and the eighth grade had seven lessons.
The additional lessons for the 7th and 8th grade students included more advanced
material and content for this older group, adjusted to be developmentally appropriate.
The 7th grade students were provided lessons that emphasized the consequences for
perpetrators of dating violence/harassment, state and federal laws for dating violence/
harassment, and sexual harassment, the setting and communicating of one’s boundaries
in interpersonal relationships, and the role of bystanders as interveners. We needed to
tread more gently with the 6th grade students as we opened discussion about setting
and articulating boundaries. We still addressed the topics covered with 7th graders, but
with 6th graders in a more incremental, basic approach, with extra attention to
introductory material. Our 6th grade lessons concentrated on the definitions and
applications of Personal space and boundaries.
For the 7th and 8th grade students, the curriculum also included a more detailed factbased
component. These lessons presented facts and statistics about sexual harassment,
sexual assault, and dating violence, including legal definitions of sexual assault and
different types of abuse. Students moved from discussions of measuring personal space
to behaviors that are against school rules, to behaviors that are against the law. Drawing
from the SB lessons used with the younger grade students, the 8th grade lessons
included additional material on personal space, establishing boundaries in relationships,
and from Safe Dates—recognizing caring relationships, identifying harmful behaviors
in dating relationships, the consequences of harmful behaviors in dating relationships,
and helping friends.","2,5,6","4 for 6 grade, 6 for 7th grade",0,NA,3,"1,2,4,7",271,1,NA,"1,2,4,7"
Taylor,2017,Matej,"group 3: School-based 6th, 7th and 8th grade","The effects of different saturation levels of the Shifting
Boundaries intervention on preventing adolescent
relationship abuse and sexual harassment",1,2,Shifting Boundaries,NA,12.5,3,50,1,1,37,USA,NY,1,4,NA,"The SB program was designed to work at the classroom and building levels. A multisession classroom curriculum (SBC) covered the following areas taught by the school
counselors: consequences for perpetrators of adolescent relationship abuse and sexual
harassment, state laws and penalties for adolescent relationship abuse and sexual
harassment, and respectful relationships. The lessons were designed to improve knowledgeabout adolescent relationship abuse, attitudes toward adolescent relationship
abuse and skill development in asserting one’s boundaries, and building respectful
relationships. 
The school (building-level) based intervention (SBS) included the development
and use of temporary school-based restraining orders (respecting boundaries
agreements), higher levels of faculty and security presence in areas identified by
students through mapping exercises as unsafe hot spots, and the use of posters to
increase awareness and reporting of adolescent relationship abuse and sexual harassment
to school personnel. The interventions were implemented by school counselors.
The program component of our project team trained the school personnel at a day-long
in-person training in the lessons and building-level interventions. Project staff also
answered follow-up questions from the trainees over the phone and conducted refresher
trainings as needed.
The classroom lessons varied in the level of content and length by grade: sixth grade
had four lessons, seventh grade had six lessons, and the eighth grade had seven lessons.
The additional lessons for the 7th and 8th grade students included more advanced
material and content for this older group, adjusted to be developmentally appropriate.
The 7th grade students were provided lessons that emphasized the consequences for
perpetrators of dating violence/harassment, state and federal laws for dating violence/
harassment, and sexual harassment, the setting and communicating of one’s boundaries
in interpersonal relationships, and the role of bystanders as interveners. We needed to
tread more gently with the 6th grade students as we opened discussion about setting
and articulating boundaries. We still addressed the topics covered with 7th graders, but
with 6th graders in a more incremental, basic approach, with extra attention to
introductory material. Our 6th grade lessons concentrated on the definitions and
applications of Personal space and boundaries.
For the 7th and 8th grade students, the curriculum also included a more detailed factbased
component. These lessons presented facts and statistics about sexual harassment,
sexual assault, and dating violence, including legal definitions of sexual assault and
different types of abuse. Students moved from discussions of measuring personal space
to behaviors that are against school rules, to behaviors that are against the law. Drawing
from the SB lessons used with the younger grade students, the 8th grade lessons
included additional material on personal space, establishing boundaries in relationships,
and from Safe Dates—recognizing caring relationships, identifying harmful behaviors
in dating relationships, the consequences of harmful behaviors in dating relationships,
and helping friends.","2,5,6","4 for 6 grade, 6 for 7th grade, 7 for 8th grade",0,NA,3,"1,2,4,7",862,1,NA,"1,2,4,7"
Abebe,2018,Paloma,Manhood 2.0 (experimental arm),Engendering healthy masculinities to prevent sexual violence: Rationale for T and design of the Manhood 2.0 trial,1,2,Manhood 2.0,866,15.4815,1,100%,"1,2,3",5,3.40%,US,Pennsylvania,1,2,1,"Both experimental and control arm interventions involved 18 h of curriculum, generally spread out over 3 to 6 week periods. Manhood 2.0 guides youth to explore and reflect upon social constructions of masculinity, describe healthy relationships, discuss healthy sexual behaviors, identify coercive and disrespectful behaviors, and practice skills to intervene when witnessing peers' disrespectful and harmful behaviors, with repeated reflection on gender norms throughout these sessions. The curriculum involved three main topic areas. The first focuses on the theme of gender, masculinity and power, allowing the young men to actively reflect on the messages and expectations that they have received from society about manhood and gender norms. The second topic focuses on the theme of violence. This includes several components: an exploration of the various forms of violence, its impact on communities, and the role that masculinity may contribute; identifying healthy versus unhealthy romantic relationships; sexual consent and decision making; and bystander interventions when witnessing abusive behavior. The final topic area focuses on sexual and reproductive health, which includes providing information about sexual health and contraception, condom and contraceptive de- monstrations, tying health behaviors and access to health facilities to conceptions of masculinity, and opportunities to ask medical professionals sexual health-related questions.","1,2",6,0,NA,7,NA,NA,NA,"1,3,4,9","1,3,4,9"
Abebe - b,2018,Paloma,GIFTSS intervention,"A cluster-randomized trial of a college health center-based alcohol and sexual violence intervention (GIFTSS): Design, rationale, and baseline sample",1,2,Giving Information for Trauma Support and Safety (GIFTSS),2292,NA,5,26.50%,3,3,67.10%,US,Pennsylvania and West Virginia,0,2,1,The brief counseling intervention used a palm-size safety card with information about SV and harm reduction given to all patients during clinical encounters. GIFTSS provides (a) patient education and assessment regarding SV; (b) discussion of harm reduction behaviors to reduce risk of alcohol-related SV for self and peers (including bystander intervention); and (c) supported referrals to victim services. The control intervention used National Institute of Alcohol Abuse and Alcoholism (NIAAA) tools for brief alcohol risk reduction counseling.,"1,6",1,0,NA,7,NA,NA,NA,"2,3,4,5","2,3,4,5"
Banyard,2018,Paloma,Program only,Multiple sexual violence prevention tools: doses and boosters,1,2,Bystander in-person program,71,NA,5,0.69,3,3,89.90%,US,NA,1,1,1,"
The Bringing in the Bystander® In-Person Program is grounded in foundational work on bystander-focused prevention. The curriculum approaches women and men as potential bystanders or witnesses to risky behaviors related to sexual and relationship violence and teaches positive, safe ways to intervene.  The 4.5 hour program was conducted over two sessions in single-gender groups with co-facilitators composed of one male and one female student.",1,2,0,NA,7,NA,NA,NA,"4,3,5","4,3,5"
Banyard,2018,Paloma,SMC only,Multiple sexual violence prevention tools: doses and boosters,1,2,Bystander social marketing campaign (SMC),143,NA,5,0.366,3,3,89.90%,US,NA,1,1,1,"The Know Your Power® Bystander SMC was designed to raise awareness about sexual and relationship violence and stalking. The campaign uses images of college students modeling active bystander behaviors in situations where there is risk for sexual and relationship violence and stalking. SMC  was administered on campus for six weeks from early to mid-spring semester. Campaign images were printed on eight different versions of 11” by 17” posters that were displayed throughout the campus community (e.g. academic buildings, recreation facilities, student apartments, local businesses, residence hall lobbies, and inside the doors of bathroom stalls). Images were printed on full side wraps for six continuously running on-campus buses. The images were on table tent holders on every table in campus dining facilities. Bookmarks featuring the images were distributed in campus libraries and campus and local bookstores. The images were on the login screen of the 650 campus student use computers (Potter, 2012). All cohort one and two students received a campaign water bottle, carabineer keychain, and button with the campaign logo. At the end the six-week period all campaign materials were removed.",6,42,0,NA,7,NA,NA,NA,"4,3,5","4,3,5"
Banyard,2018,Paloma,Both program and SMC,Multiple sexual violence prevention tools: doses and boosters,1,2,Bystander in-person program and SMC,205,NA,5,0.525,3,3,89.90%,US,NA,1,1,1,"Participants in the ""both"" conditions received the in-person bystander intervention and the SMC. They restricted the exposure of the SMC by rolling it out in different semesters.","1,6",43,1,NA,7,NA,NA,NA,"4,3,5","4,3,5"
Burns,2018,Paloma,NA,Exploring the Role of Race and Gender on Perceived Bystander Ability and Intent: Findings Before and After Exposure to an Online Training Program to Prevent Sexual Assault on Campus,1,2,Haven (Online training program),750,21.18,5,37%,3,3,22%,US,NA,0,1,1,"Freshmen, transfer, and graduate students were sent mass email invitations to partici- pate in Haven, indicating that their participation was not mandatory. This two-part, 1-hr program provides students with education on healthy relationships, sexual consent, individual risk and protective factors, sociocultural contributors to sexual assault, and additional content related to federal government requirements (e.g., campus-specific definitions and policies, support and reporting resources). Course activities focus on bystander intervention by walking students through scenario-based exercises that align with Latane and Darley’s (1970) five-step cognitive model for helping. There are multiple healthy and unhealthy scenarios illustrated during the course which depict victims and perpetrators from a wide variety of races, genders, and sexual orientations. Social norms content and statistics are provided to demonstrate the disconnect between actual and perceived norms related to bystander self-efficacy, behavioral intentions, and respect for students who intervene.",7,1,0,NA,7,NA,NA,NA,"4,5,1","4,5,1"
Devine,2018,Paloma,Online Training,Bystander Self-Efficacy To Prevent Sexual Assault: An Evaluation Of The Impacts Of Online And In- Person Bystander Intervention Trainin,4,2,Think about ir (online),387,NA,5,36%,3,3,92%,US,NA,0,1,0,"In person training, at or before entering college.",8,NA,0,NA,7,NA,NA,NA,4,4
Devine,2018,Paloma,In-Person Training,Bystander Self-Efficacy To Prevent Sexual Assault: An Evaluation Of The Impacts Of Online And In- Person Bystander Intervention Trainin,4,2,Green Dot (in person),387,NA,5,36%,3,3,92%,US,NA,0,1,0,Online training.,7,NA,0,NA,7,NA,NA,NA,4,4
Devine,2018,Paloma,Both Online & In-Person Training,Bystander Self-Efficacy To Prevent Sexual Assault: An Evaluation Of The Impacts Of Online And In- Person Bystander Intervention Trainin,4,2,Both in person and online,387,NA,5,36%,3,3,92%,US,NA,0,1,0,Reported online and in person training.,8,NA,0,NA,7,NA,NA,NA,4,4
Gordon,2018,Paloma,Full game,Powering Up: Games for Sexual Violence Prevention,4,2,Decisions that matter,50,21.5,5,44%,3,3,48%,Canada,Alberta,0,3,1,"Participants completed the research procedures in a single, 30-40 minute session with the researcher. Participants attended sessions one at a time and did not interact with each other. After reviewing the study information letter and having an opportunity to ask questions, participants were asked to complete the demographic and pre-test questionnaires on a provided computer. They were then directed to play through Decisions That Matter in- browser. Participants in Group 1 were told they would play the game through to the end. Both groups then completed the post-test questionnaire. 
The learning environment of Decisions That Matter is constructivist in nature, providing spaces for exploration, the opportunity to learn through success and failure, multiple possible outcomes, and feedback that learners can use to adjust their understanding (Klopfer, 2008.) Players are given feedback on their choices by the non-player characters in the game, which often emphasizes that there is more than one way to intervene in sexual violence.",9,1,0,NA,7,NA,NA,NA,9,9
Gordon,2018,Paloma,Partial game,Powering Up: Games for Sexual Violence Prevention,4,2,Decisions that matter,50,21.5,5,44%,3,3,48%,Canada,Alberta,0,3,1,"Participants completed the research procedures in a single, 30-40 minute session with the researcher. Participants attended sessions one at a time and did not interact with each other. After reviewing the study information letter and having an opportunity to ask questions, participants were asked to complete the demographic and pre-test questionnaires on a provided computer. They were then directed to play through Decisions That Matter in- browser. Participants in Group 2 were told the researcher would tell them when to stop playing the game. Both groups then completed the post-test questionnaire. 
The learning environment of Decisions That Matter is constructivist in nature, providing spaces for exploration, the opportunity to learn through success and failure, multiple possible outcomes, and feedback that learners can use to adjust their understanding (Klopfer, 2008.) Players are given feedback on their choices by the non-player characters in the game, which often emphasizes that there is more than one way to intervene in sexual violence.",9,1,0,NA,7,NA,NA,NA,9,9
Jemmott,2018,Paloma,Let Us Protect Our Future,Effect of a Behavioral Intervention on Perpetrating and Experiencing Forced Sex Among South African Adolescents. A Secondary Analysis of a Cluster Randomized Trial,1,2,Let Us Protect Our Future,1052,12.62,3,47%,1,1,NA,South Africa,Eastern Cape Province,1,3,1,"The Let Us Protect Our Future intervention was developed based on social cognitive theory and the theory of planned behavior, integrated with qualitative informationive form the target population. 
It included 12 one-hour modules, with 2 modules delivered during each of 6 sessions on consecutive school days involving games, brainstorming, role-playing, group discussions, and comic workbooks with a series of characters and story lines. Although the intervention was primarily designed to reduce sexual risk behaviors, it included several features designed to address gender issues and rape myth beliefs relevant to perpetration and experience of forced sex. One was a doll activity to challenge negative attitudes toward women and sexual coercion. Participants used dolls with changeable clothing to express their views on how young women dress in music videos, work, and school and considered whether a woman’s clothing is a legitimate reason to infer that she has bad character and whether a girl who dresses sexy is asking for sex or deserves to be forced to have sex.","1,2",6,0,NA,7,NA,NA,NA,"9,1,2","9,1,2"
Malamuth,2018,Paloma,NA,Impact of Exposure to Sexual Violence Prevention Messages on Students’ Bystander Behavior,1,2,NA,1047,22.65,5,33.10%,3,3,21.60%,US,NA,0,1,0,Exposure to messages about sexual violence prior to joining university or on college campus.,NA,NA,0,NA,7,NA,NA,NA,4,4
Mennicke,2018,Paloma,NA,"Evaluation of a Social Norms Sexual Violence Prevention Marketing Campaign Targeted Toward College Men: Attitudes, Beliefs, and Behaviors Over 5 Years",1,2,Social Norms Sexual Violence Prevention Marketing Campaign,4158,NA,1,100%,3,3,69.10%,UA,NA,1,1? 4,1,"Each year the social norms marketing campaign focused on four overarching themes: consent, bystander, rape myths, and sexual activity. The consent theme reinforced the message, “Most men understand the importance of getting consent before sexual intimacy.” The bystander theme reinforced the message, “Most men would intervene to prevent sexual harassment or sexual assault.” The rape myths theme used underscored the message, “Most men agree that blaming sexual assault victims is wrong.” Finally, the sexual activity theme reinforced the message that “Most men are not as sexually active as you might think.”. Each year two to three advertisements were developed. Posters, bus wraps, table tents, and billboards were placed around campus with a branded logo and catchy designs. Data was collected from male students each spring semester from 2010 to 2014","6,9",5,0,NA,7,NA,NA,NA,"1,3, 4, 9","1,3, 4, 9"
